slctn_nmbr,client_id,npo_account_id,npo_accnts_nmbr,pmnts_type,year,quarter,gender,age,clnt_cprtn_time_d,actv_prd_d,lst_pmnt_rcnc_d,balance,oprtn_sum_per_qrtr,oprtn_sum_per_year,frst_pmnt_date,lst_pmnt_date_per_qrtr,frst_pmnt,lst_pmnt,pmnts_sum,pmnts_nmbr,pmnts_sum_per_qrtr,pmnts_sum_per_year,pmnts_nmbr_per_qrtr,pmnts_nmbr_per_year,incm_sum,incm_per_qrtr,incm_per_year,mgd_accum_period,mgd_payment_period,phone_number,email,lk,assignee_npo,assignee_ops,postal_code,region,citizen,fact_addrss,appl_mrkr,evry_qrtr_pmnt,churn
1,0x5831CEE349F02B4C9BE2BAEDA2850CCF,0x79A0896C47E9204E9ECE6CFEE6AF35B8,1,2,2006,2006Q3,-1,35,734,728,33,58162.73,7344.51,31561.77,2004-09-26,2006-09-24,2035.26,10.62,55070.72,50,7201.87,29143.56,6,24,2001.4,-0.0,1841.04,0.0,0.0,0,0,-1,-1,-1,141402.0,МОСКОВСКАЯ ОБЛ,1,-1,0,0,0
2,0x16AD1C88C146D748A8C637BC15B8B1F9,0xB1C2CF0A4C2F894CA2972BE6A520A4AC,1,1,2016,2016Q2,-1,54,4216,3813,31,29556.26,487.8,2968.15,2005-12-31,2016-06-09,1796.74,162.6,22284.55,126,487.8,1788.61,3,11,7087.29,-0.0,1179.53,4.0,4.0,-1,-1,-1,-1,-1,160004.0,ВОЛОГОДСКАЯ ОБЛ,1,1,0,1,0
0,0x366528EC4183D645A6834FF088D57B16,0x9C6D9AF4D07C2449BA9A3227D58B558A,1,2,2007,2007Q2,-1,36,20,0,0,211.02,211.02,1229.26,2007-06-11,2007-06-11,211.02,305.56,211.02,1,211.02,1229.26,1,6,-0.0,-0.0,-0.0,0.0,0.0,-1,0,1,-1,-1,398005.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
0,0x82014FC4E8A6174F8866CAFA9CA91607,0x4A036D8A1FB30B4A9A87BB01457975EC,1,2,2015,2015Q4,1,51,6028,552,3466,27407.63,2355.08,2355.08,2004-12-31,,8504.3,20.14,11469.0,20,-0.0,-0.0,0,0,15938.63,2355.08,2355.08,0.0,0.0,-1,0,-1,-1,-1,398046.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,0,0
1,0x2860BB18CC78EE4BAAC5DE30CE03EB06,0x6F564CFF55DF56429FBD4F47D99FFDB8,3,2,2018,2018Q3,-1,32,731,728,32,410847.26,48804.88,228159.5,2016-09-29,2018-09-27,16268.29,16268.29,406707.31,25,48804.87,195228.78,3,13,4139.93,-0.0,32930.71,0.0,0.0,0,0,1,-1,-1,123182.0,МОСКВА Г,-1,-1,0,0,0
0,0x59196C8A9A2EC94F8FBE48A9DDEE1A0C,0xBB35BD5B7589E54DBF5C1EE4F198BCD9,1,2,2006,2006Q3,1,32,384,336,29,2616.68,866.24,3656.89,2005-10-09,2006-09-10,239.52,1002.95,2594.22,12,866.23,3445.17,3,12,22.46,-0.0,211.71,0.0,0.0,-1,0,-1,-1,-1,398058.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
0,0xC7F391854F47A049B945916D63A7D6E1,0xD4A91E0E01F9B24C9666D6F213E8C56A,1,2,2007,2007Q2,1,34,2910,892,32,37903.97,1595.88,6513.55,2004-12-31,2007-06-11,14692.53,95.43,26383.79,31,1595.87,6513.55,3,12,11520.17,-0.0,-0.0,0.0,0.0,-1,0,-1,-1,-1,398516.0,ЛИПЕЦКАЯ ОБЛ,-1,1,0,1,0
0,0x02E41087C2BCB743A3F1DF13367CC394,0x1B93B56C7F3A1148ACC1E8078C788588,1,2,2008,2008Q2,1,48,3287,1256,30,25354.87,931.44,4194.59,2004-12-31,2008-06-09,8428.26,447.08,18719.93,42,931.43,3129.79,3,11,6634.93,-0.0,1064.79,0.0,0.0,-1,0,-1,-1,-1,398046.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
0,0xE37F44D9A78EBF4D8B9BCCEA8C4E7B19,0xB9DD09AA91996343A0E69AD55C396D26,2,1,2011,2011Q1,1,47,689,664,34,20898.04,2976.41,10053.13,2009-05-12,2011-03-07,876.2,1544.79,20648.46,23,2976.41,9059.85,3,12,249.57,-0.0,993.27,0.0,0.0,-1,0,-1,-1,-1,309516.0,БЕЛГОРОДСКАЯ ОБЛ,1,1,0,1,0
2,0xBA7304F1214B014CB879BDEDA989116D,0x4EC3E0DE17A5464DABAFB969C22174A3,2,2,2010,2010Q4,1,36,1234,154,1080,5320.54,253.32,253.32,2007-08-15,,658.53,813.0,4723.57,6,-0.0,-0.0,0,0,596.96,253.31,253.31,0.1,0.1,-1,-1,-1,-1,-1,162618.0,ВОЛОГОДСКАЯ ОБЛ,1,1,0,0,0
1,0x1324AC2C2745D447BEF81C7F185A9208,0xD5DA47FD776C3343B52A350CEE97B90F,2,2,2020,2020Q4,1,59,3196,183,3003,955.23,23.76,23.76,2012-04-11,,78.86,78.86,552.03,7,-0.0,-0.0,0,0,403.19,23.75,23.75,0.0,0.0,0,0,-1,-1,-1,623102.0,СВЕРДЛОВСКАЯ ОБЛ,1,-1,0,0,0
0,0xB31A714FE179BA41AD8C4E6890DC891D,0xCAD71E9744737947B78BCA4BE821E218,1,2,2008,2008Q1,-1,42,79,53,0,3361.11,3361.11,13147.91,2008-01-12,2008-03-05,2018.88,836.26,3361.11,3,3361.11,12582.39,3,13,-0.0,-0.0,565.52,0.0,0.0,-1,0,-1,-1,-1,420129.0,ТАТАРСТАН РЕСП,1,1,0,1,0
0,0xF4C78545A0E21748A9FB010A1D387DD4,0xA95F5AE94564CC4E8C05FF0B6E3A9F64,1,2,2018,2018Q1,-1,27,2762,2738,31,40766.02,1821.95,-36637.35,2010-09-07,2018-03-07,218.81,659.02,36152.59,90,1821.95,6401.35,3,11,4613.42,-0.0,-0.0,0.0,0.0,-1,0,-1,-1,-1,398058.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
2,0x2B23D36658AE0148877A11B77FE929EB,0x38F5E4F3274B2F40B04F2D3EC7F29CEA,1,2,2021,2021Q4,1,41,5560,274,5286,2257.22,96.58,96.58,2006-10-11,,8.13,162.6,1471.54,10,-0.0,-0.0,0,0,785.67,96.57,96.57,0.1,0.1,-1,-1,-1,-1,-1,162605.0,ВОЛОГОДСКАЯ ОБЛ,1,1,0,0,0
0,0x4D61D8924C2A924DB2303A60BF231E3D,0xE247C86AEB9E4047AA831F0197A7C7F6,2,3,2018,2018Q1,1,64,937,886,43,154028.57,20053.14,135113.05,2015-09-06,2018-02-08,5346.01,60.97,146738.92,28,20053.13,118077.4,1,11,7289.65,-0.0,17035.64,0.0,0.0,-1,0,1,-1,-1,344011.0,РОСТОВСКАЯ ОБЛ,1,1,0,1,0
2,0x0B12243E17FA554EA6B4F98AE6DAB2B9,0x5751E2C2B8874D4BBE7C97DBC95E1413,1,1,2017,2017Q4,1,62,4752,4359,59,32533.4,1687.47,2923.24,2005-12-31,2017-12-07,1544.71,154.47,23479.67,143,463.41,1699.18,3,11,8911.8,1224.05,1224.05,4.0,4.0,-1,-1,-1,-1,-1,186931.0,КАРЕЛИЯ РЕСП,1,-1,0,1,0
0,0x0020C1B0082BEE48ABAC8BD1D11B1BA2,0xBE2564945465464981312721C67D6C98,1,3,2021,2021Q3,1,45,550,488,30,65930.04,19634.61,44288.34,2020-05-14,2021-09-14,3165.0,3033.99,65486.52,19,19634.6,41536.99,4,12,443.52,-0.0,2751.35,0.0,0.0,-1,0,1,-1,-1,628380.0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,1,1,0,1,0
0,0x5870D611EBFA73478EF236A76CA8E6E7,0x957486BEE418294683603B2A51730B6D,1,3,2020,2020Q1,1,43,1511,1489,42,309606.91,11740.2,87990.39,2016-02-10,2020-03-09,4152.79,5660.69,276651.72,53,11740.2,74614.46,2,12,32955.17,-0.0,13375.92,0.0,0.0,-1,0,1,-1,-1,410049.0,САРАТОВСКАЯ ОБЛ,1,1,0,1,0
1,0x1A4ABA3C84CF3D438EAEF07835C33AEC,0xFADC51B80A50F2469D38017ED571AFD8,1,2,2021,2021Q4,-1,34,4659,3563,1096,47087.54,3114.76,3114.76,2009-03-30,,1314.48,2.11,22519.7,33,-0.0,-0.0,0,0,24121.94,3114.75,3114.75,0.0,0.0,0,0,-1,-1,-1,119571.0,МОСКВА Г,-1,-1,0,0,0
1,0x9F41436C5E818A41B41B33BEF8221812,0x8B0377180F81A14AAFE5B29339C90CE7,1,2,2017,2017Q4,-1,36,5494,186,5302,129.97,7.36,7.36,2002-12-22,,8.94,8.94,44.71,5,-0.0,-0.0,0,0,85.25,7.35,7.35,6.0,6.0,0,0,-1,-1,-1,426033.0,УДМУРТСКАЯ РЕСП,-1,-1,0,0,0
0,0x17496E1CA05EE14BA32230277D55E8A8,0x4A96BACB6576544AAC84CB48552C698B,1,1,2020,2020Q1,1,45,2490,2469,42,4311032.11,103163.41,1338820.73,2013-06-06,2020-03-10,14318.07,31162.89,3713231.3,83,103163.41,1156535.87,2,12,597801.11,-0.0,182284.8,0.0,0.0,-1,0,1,-1,-1,461046.0,ОРЕНБУРГСКАЯ ОБЛ,1,1,0,1,0
0,0x2D0F03689984A1449BB404B0FE7C1F3B,0x36B1BE774BD0E7449130E548AD72C155,1,1,2016,2016Q4,-1,36,2100,92,1964,2448.77,96.69,96.69,2011-05-16,,406.5,406.5,1626.01,4,-0.0,-0.0,0,0,822.75,96.69,96.69,4.0,4.0,-1,0,-1,-1,-1,620042.0,СВЕРДЛОВСКАЯ ОБЛ,1,1,0,0,0
2,0x3CE3ED27466BAD4998F1512837667604,0x5AE53AFD3815464198F4528251B4980F,1,3,2009,2009Q4,1,27,23,0,0,162.6,162.6,162.6,2009-12-08,2009-12-08,162.6,162.6,162.6,1,162.6,162.6,1,1,-0.0,-0.0,-0.0,0.1,0.1,-1,-1,-1,-1,-1,162600.0,ВОЛОГОДСКАЯ ОБЛ,1,-1,0,0,0
1,0x1B89DAF2E1BE824280CF15BF57410A28,0xEC31C45B8295EC4FB125B84D71BC616F,2,2,2011,2011Q4,1,44,999,993,31,33076.74,3496.98,13213.6,2009-04-07,2011-12-26,771.54,12.95,32147.62,68,3429.07,12859.02,6,24,292.39,-0.0,99.94,0.0,0.0,0,0,-1,-1,-1,420073.0,ТАТАРСТАН РЕСП,1,-1,0,0,0
1,0xE2D48051DF207445B62A1186C04FCAC4,0x5482642804A3444ABB3E7E2204299B14,1,2,2012,2012Q1,1,49,5252,0,5252,232.08,13.41,13.41,1997-11-13,,40.65,0.04,40.65,1,-0.0,-0.0,0,0,191.43,13.41,13.41,7.5,7.5,0,0,-1,-1,-1,0.0,НОВГОРОДСКАЯ ОБЛ,1,-1,0,0,0
0,0x3FB5D1536E7BAA448E02B0754890EFB6,0x23C9AA67C25AC948A5D211D8D9B0ED3F,1,2,2012,2012Q4,1,45,4893,0,2922,1047.76,63.67,63.67,2004-12-31,,349.39,349.39,349.39,1,-0.0,-0.0,0,0,698.36,63.66,63.66,0.0,0.0,-1,0,-1,-1,-1,398005.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,0,0
0,0xAEEB9D678F8B90479855E19475485C47,0xAAE9E7D57BA7E94AA5F8C4614C90FA1E,1,2,2019,2019Q2,1,30,1390,1371,29,123516.39,8608.59,-107956.94,2015-09-10,2019-06-12,4333.43,377.04,110940.18,54,8608.58,20590.08,4,10,12576.2,-0.0,-0.0,0.0,0.0,-1,0,1,-1,-1,628306.0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,1,1,0,1,1
0,0x8BFD3492C954D04DAB1535B88CE2162B,0xA460E13F5F498744B2C527544E274450,2,1,2020,2020Q1,1,57,1034,1005,31,79339.3,2855.72,22124.28,2017-06-09,2020-03-10,2169.93,106.65,79339.29,34,2855.72,18710.21,3,12,-0.0,-0.0,3414.06,0.0,0.0,-1,0,-1,-1,-1,398046.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
0,0xCF6D24BA0F57124198CE67B1A408A63E,0x9B731605D1A6664ABBEB7E496A3B0ACE,1,3,2020,2020Q4,1,48,1782,1765,30,244384.27,17050.32,51402.77,2016-02-14,2020-12-14,2393.96,3326.78,211793.05,63,8444.19,42796.65,3,13,32591.21,8606.12,8606.12,0.0,0.0,-1,0,1,-1,-1,628380.0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,1,1,0,1,0
2,0x2C4390009230544CB16636DE2CC9E1C5,0x260B39CB8403E64A84628A1749019C11,1,2,2020,2020Q4,-1,49,5121,0,5121,12.01,0.1,0.1,2006-12-24,,8.13,8.13,8.13,1,-0.0,-0.0,0,0,3.87,0.09,0.09,0.1,0.1,-1,-1,-1,-1,-1,169900.0,КОМИ РЕСП,1,1,0,0,0
0,0x2679438A8FD90A4FB7D34598820ABEE5,0xCE72A47F676DB24AA6FF3ACD9AEFC802,1,1,2020,2020Q4,1,46,2760,2521,239,420952.57,16047.41,33255.32,2013-06-11,,2137.66,2844.13,331837.09,85,-0.0,17207.91,0,4,89115.45,16047.4,16047.4,0.0,0.0,-1,0,-1,-1,-1,628195.0,ХАНТЫ-МАНСИЙСКИЙ-ЮГРА АО,-1,1,0,0,0
2,0x7E262072AEE1054982C7855AAEE455C6,0xFA3A75313BD8574BA424B8E443C3A3A7,1,1,2022,2022Q4,1,57,7159,6193,31,72418.85,975.61,3902.44,2005-12-31,2022-12-15,4878.04,325.2,48292.68,197,975.61,3902.43,3,12,22596.2,-0.0,-0.0,4.0,4.0,-1,-1,1,-1,-1,606524.0,НИЖЕГОРОДСКАЯ ОБЛ,1,1,0,0,0
2,0xC07FF3166F1DF34480BFB3A1262E29CE,0xAD62BDE7AFAAD34EA6AF301506474FF8,1,2,2021,2021Q4,1,55,6235,589,5255,16698.22,714.47,714.47,2005-12-31,,2772.35,243.9,7650.4,21,-0.0,-0.0,0,0,8753.84,714.47,714.47,4.0,4.0,-1,-1,-1,-1,-1,162600.0,ВОЛОГОДСКАЯ ОБЛ,1,-1,0,0,0
0,0x5351284025EEE54E8F2F90DFB41FAF57,0x66633D4020D8C54E9DDF85B36C8C2781,1,2,2018,2018Q4,1,46,1177,1005,172,187176.33,14809.02,48068.29,2015-10-11,,5007.04,3453.34,162952.8,38,-0.0,33259.27,0,8,24223.52,14809.01,14809.01,0.0,0.0,-1,0,1,-1,-1,628331.0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,1,1,0,0,0
1,0xA5F459BBB3EF444687DCF1BB7E503370,0x6CDA1BF41F5177468B8021BA37526AB1,1,2,2017,2017Q4,-1,57,8153,0,6757,7260.06,334.95,334.95,1999-07-02,,1028.39,0.91,1028.39,1,-0.0,-0.0,0,0,6231.66,334.95,334.95,1.8,1.8,0,0,-1,-1,-1,446640.0,САМАРСКАЯ ОБЛ,-1,-1,0,0,0
0,0xD0CE572D7209134ABE68996F688CE3AA,0x7A4CB8D2128AEF4FBD447AAF01343811,1,2,2016,2016Q4,-1,43,6414,0,4383,1039.29,14.6,14.6,2004-12-31,,266.07,266.07,266.07,1,-0.0,-0.0,0,0,773.22,14.6,14.6,0.0,0.0,-1,0,-1,-1,-1,398008.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,0,0
0,0xA7A014D43108864C97EF270A439214D7,0x3CA5FE7160FBFA43838DC9E0CAB089C0,2,1,2018,2018Q4,-1,49,642,579,30,89234.09,17335.8,53261.81,2017-05-10,2018-12-10,8559.35,3310.57,82980.48,20,11775.61,47701.62,3,12,6253.6,5560.18,5560.18,0.0,0.0,-1,0,1,-1,-1,665813.0,ИРКУТСКАЯ ОБЛ,1,1,0,1,0
0,0xDBECD2C86814984583B4108D5C935D36,0x2FEAFBB3A098644DA3BE38CC8E13AB77,1,2,2014,2014Q1,1,61,1807,1781,40,46164.44,2297.23,14042.8,2009-04-19,2014-03-05,617.53,722.41,42364.78,60,2297.22,9166.4,3,12,3799.65,-0.0,4876.39,0.0,0.0,-1,0,-1,-1,-1,309517.0,БЕЛГОРОДСКАЯ ОБЛ,1,1,0,1,0
0,0xD8C74949A02D1A4AA070F3410FC7A7A3,0x27B3EE55A78C7F4FB32778352A0D974E,1,1,2020,2020Q4,-1,55,2975,2923,29,296772.99,17669.55,40686.97,2012-11-08,2020-11-09,1147.19,5622.69,231860.44,100,6830.39,29847.81,2,11,64912.56,10839.15,10839.15,0.0,0.0,-1,0,1,-1,-1,628609.0,ХАНТЫ-МАНСИЙСКИЙ-ЮГРА АО,1,1,0,1,0
0,0xC8BD1F99136E2C409616608CBE18DA37,0xA9D7B465DAEDA543A528D47D795449FE,1,3,2017,2017Q2,1,31,817,794,20,28811.42,3284.72,16993.87,2015-04-05,2017-06-07,210.07,1874.25,27521.52,30,3284.72,15524.17,3,15,1289.89,-0.0,1469.69,0.0,0.0,-1,0,-1,-1,-1,352800.0,КРАСНОДАРСКИЙ КРАЙ,1,1,0,1,0
0,0xCE92AAB294CF514DBB96D959AF1D24AA,0x05AB0C28A2E58E4CA3143071409BBA6E,1,2,2012,2012Q1,1,28,2000,1976,33,17913.02,1057.11,5082.78,2006-10-09,2012-03-07,208.49,72.83,16579.34,65,1057.11,3858.97,3,12,1333.67,-0.0,1223.8,0.0,0.0,-1,0,-1,-1,-1,398005.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,0,0
0,0xB6D17D52F393B9448FD5BC880F73F836,0x272690F0941C344B84086A5D15EA6A19,1,3,2020,2020Q2,1,28,1055,976,33,68032.2,5221.5,30976.19,2017-10-09,2020-06-11,1024.26,3571.08,64087.16,33,5221.49,28129.62,3,12,3945.04,-0.0,2846.57,0.0,0.0,-1,0,1,-1,-1,426015.0,УДМУРТСКАЯ РЕСП,1,1,0,1,0
1,0x6947B74FB4937B4487F33C4F6E81667E,0x604285E536E58D45BB786823B921B2C5,1,2,2000,2000Q3,-1,38,1244,211,1033,169.14,6.51,28.15,1997-05-05,,34.14,0.08,82.92,3,-0.0,-0.0,0,0,86.21,6.51,28.14,7.5,7.5,0,0,-1,-1,-1,0.0,САРАТОВСКАЯ ОБЛ,1,-1,0,0,0
0,0xF08BC9A65FC6B641A7F0777F6F97AB08,0x5B8F780FDB950C49A1D243EFB7931DC3,1,3,2019,2019Q1,1,35,742,672,27,50343.13,5282.7,29278.98,2017-05-11,2019-03-14,1509.87,1995.19,47254.74,25,5282.7,25663.24,3,13,3088.39,-0.0,3615.73,0.0,0.0,-1,0,-1,-1,-1,628310.0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,1,1,0,1,0
0,0x080A852400150D4CABFC84298DC74E0A,0x564A75036747684B82599B428E357B79,2,2,2015,2015Q2,-1,46,456,398,35,10734.87,2560.15,10198.28,2014-05-07,2015-06-09,884.08,1020.48,10507.22,14,2560.14,9175.83,3,12,227.65,-0.0,1022.44,0.0,0.0,-1,0,-1,-1,-1,398050.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
1,0x767362F49E0F1B4EA5D46526C0B5A8FE,0x97C451E7A09DF141837A40F539D9374E,2,2,2013,2013Q1,1,46,2931,0,0,2875.71,481.38,481.38,2018-12-31,,0.66,0.66,-0.0,0,-0.0,-0.0,0,0,2875.7,481.38,481.38,0.0,0.0,0,0,-1,-1,-1,624140.0,СВЕРДЛОВСКАЯ ОБЛ,1,-1,0,0,0
2,0x35C4E7DE4CDCF24EA34AE8B8E3FAEB03,0x33FC11FABC0A974F962C1EAA464B925B,1,1,2015,2015Q1,1,50,4329,3357,37,34032.76,487.8,3328.79,2005-12-31,2015-03-11,5040.65,162.6,23089.43,112,487.8,1951.22,3,12,9313.07,-0.0,1377.57,4.0,4.0,-1,-1,-1,-1,-1,606523.0,НИЖЕГОРОДСКАЯ ОБЛ,1,1,0,1,0
0,0xA59F46FC6C302E4BA4C9F2214E17E20F,0xD8ADE6B8878B664BA9B998B993AAC0CA,2,1,2022,2022Q3,1,56,8492,6459,30,150158.22,2128.68,7742.5,2004-12-31,2022-09-07,7494.14,880.52,113712.79,214,2128.68,7742.49,3,12,36445.43,-0.0,-0.0,0.0,0.0,-1,0,-1,-1,-1,398059.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
1,0x15EC15A6C4D6E24594613CDE603D44F8,0xCB9602E7872C2E4D8CED70A43E70EF55,1,2,2005,2005Q4,-1,45,1105,188,913,73.86,4.38,8.9,2002-12-26,,12.19,12.19,60.97,5,-0.0,-0.0,0,0,12.88,4.38,8.9,6.0,6.0,0,0,-1,-1,-1,305023.0,КУРСКАЯ ОБЛ,-1,-1,0,0,0
2,0xDDD4FC5CE67CE040A116BEFA171A608A,0x8114005056AB57EC11EC782C31AD905B,2,1,2021,2021Q2,1,45,167,144,83,3252.03,2439.02,8360.37,2021-01-14,2021-06-07,813.0,2439.02,3252.03,4,2439.02,8130.08,3,10,-0.0,-0.0,230.29,0.0,0.0,-1,-1,1,-1,-1,162609.0,ВОЛОГОДСКАЯ ОБЛ,1,1,0,1,0
2,0x75DB13C20E8A4446AE9245BF3B403990,0x61BAFE30671BEB4782016DE328DFB3BE,1,1,2007,2007Q1,1,44,68,28,0,308.94,308.94,1727.5,2007-02-20,2007-03-20,154.47,154.47,308.94,2,308.94,1699.18,2,11,-0.0,-0.0,28.31,0.1,0.1,-1,-1,-1,-1,-1,302011.0,ОРЛОВСКАЯ ОБЛ,1,-1,0,0,0
0,0x8188E26E048EBD438B19CAD1814C9771,0x2A9CFE88D9B6D24C96156F0B3C0A2418,1,3,2020,2020Q4,-1,41,1736,210,1452,16662.59,640.87,640.87,2016-06-13,,2945.35,682.61,12829.56,8,-0.0,-0.0,0,0,3833.02,640.87,640.87,0.0,0.0,-1,0,-1,-1,-1,452754.0,БАШКОРТОСТАН РЕСП,1,1,0,0,0
0,0xDD570300437F1B4986DF156A8C0D2BC1,0x1EE37BDA95EE8C4CB76C5025AF88950A,1,3,2007,2007Q2,-1,49,168,149,32,1056.91,487.8,2774.21,2007-01-14,2007-06-12,243.9,39161.17,1056.91,6,487.8,3439.48,3,14,-0.0,-0.0,-0.0,0.0,0.0,-1,0,-1,-1,-1,390044.0,РЯЗАНСКАЯ ОБЛ,1,1,0,0,0
0,0x593F07249C3D7D4393E8467EBFA63BA7,0x04754F6E91A79346B7C8E9BE45FFCF92,1,1,2019,2019Q4,-1,45,4339,4318,29,134949.29,9450.56,17607.82,2008-02-14,2019-12-11,92.87,960.51,95106.94,141,1808.78,9966.04,3,12,39842.35,7641.78,7641.78,0.0,0.0,-1,0,-1,-1,-1,446732.0,САМАРСКАЯ ОБЛ,-1,1,0,1,0
